fact,question,A,B,C,D,commonSense,answer
a graduated cylinder is used to measure volume of an object,A container with a printed scale on it's side is used to,measure weight,hold flowers,hear through doors,measure volume,"[""a graduated cylinder is a container with a printed scale on it's side"", 'scales measure weight']",D
hypothesis means scientific guess about the cause and effect of an event,When Newton was 1st hit by the apple he created his famous,last stand,hypothesis,hats,apple pie,"['Newton was a scientist that discoverer of gravity', 'apples are fruits']",B
the Grand Canyon was formed by the Colorado River flowing over long periods of time,A large crevasse was carved in the western United States over many,glaciers,mountains,rainstorms,years,"['the Grand Canyon is a large crevasse', 'canyons are formed by rivers']",D
"as the use of a crop increases , the amount of crops planted will increase",With more people eating cereal there comes a need for more,butter,top soil,water,corn,"['produce comes from crops', 'more harvesting means more crops have been planted']",D
In the food chain process a green plant has the role of producer,In the food chain process a cattail has the role of,decomposer,consumer,producer,trader,"['The first step in the food chain is always a producer like a green plant', 'producer organisms are the first level of the food chain']",C
cool temperatures cause animals to shiver,A horse could start trembling when,it's afraid another horse will win a competition,a cold front is moving in,it gets a movie role,the sun comes out,"['trembling is shivering', 'a horse is an animal']",B
"as the amount of polluting gasses in the atmoshere increases , the atmospheric temperature will increase","When pollution levels get higher, the gas in the atmosphere",raises temps,dries up,melts away,cools earth,"[""pollution damages the earth's atmosphere"", 'the atmosphere is gas layers']",A
a desert environment is usually hot in temperature,A person who wants to visit a desert will be sure to pack more,winter boots,thermal underwear,tan shorts,snowsuits,"['deserts are hot', 'a desert is a dry environment']",C
pushing a button sometimes completes a circuit,Candace pushed a button outside her friend's house and a buzzer went off inside the house.,a circuit was closed,a circuit was destroyed,the electricity cut out,lightning struck the house,"['a button is a switch', 'MP3 players use buttons to turn on and off']",A
telephones convert sound energy into electrical energy,Magnets in ear pieces convert sound waves into,ear aches,radio stations,Brain cancer,direct current,"['an electric fan converts electrical energy into mechanical energy', 'radios turn electrical energy into sound']",D
an amphibian is cold-blooded,A salamander is,extinct,bipedal,cold blooded,warm blooded,"['a salamander is an amphibian', 'amphibians are cold blooded and can not survive the cold']",C
a renewable resource can be replaced,Which of the following is the most replaceable?,the energy captured by a windmill,the oil from the earth,the iron from the earth,the energy provided by natural hydrogen,"['Wind can be replaced', 'an oak can replace itself also']",A
"as the amount of rainfall increases in an area , the amount of available water in that area will increase","After a storm, a glass vial with markings on it can tell",how loud a baby is,how wet an area got,how sad a puppy is,how bad a skunk smells,"['water amounts can be measured to be more after rainfall', 'farming increases the amount of food']",B
electric devices require electrical energy to function,What would need electrical energy to function?,The Sun,Grass,A Dyson,A lake,"['refrigerators need electricity to function', 'A Dyson vacuum would need electrical energy to function.']",C
magnifying makes seeing small things easier through using a microscope,A microscope creates clarity by,levitation,acceleration,decomposition,augmentation,"['amoebas are tiny and would be easier viewed thru the magnifying effect of a microscope', 'A microscope can act as a refraction light.']",D
"as mileage per galon of gasoline increases , the amount of gasoline used will decrease",Which of the following is true?,switching from a truck to a moped will save gas,switching from a moped to a truck will save gas,switching from a car to an SUV will save gas,switching from a car to a truck will save gas,"['gasoline is used for cars', 'gasoline used decreases as travel costs less']",A
pollution is when humans pollute the environment with pollutants,Which pollutant is most likely caused by humans activity?,bricks,bovine farts,rocks,oxygen,"['cars make pollution', 'trees are not a pollutant']",B
a berry contains seeds,trees will grow from,rocks,hack berries,thin air,water lilies,"['berries have seeds', 'berries grow on berry bushes']",B
if an animal hatches from an egg then that animal is born,Which are least likely to be seen in the wild?,bird eggs,human eggs,fish eggs,crocodile eggs,"['An animal is an organism.', 'humans do not hatch from eggs']",B
shelter is used for protection by animals against weather,Leaving your garage door open during a storm poses the risk of having animals going in due to them needing what,some shoes,death,some shelter,some candy,"['Animals need protection from storms', 'animal need housing to protect them from bad weather.']",C
"cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy","A cell taking oxygen and carbs and making it into something else, which can be used more efficiently is",ridiculous,respiration,breathing,retirement,"['animals take in oxygen', 'oxygen and hydrogen form water']",B
the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,"If the stars in the sky above your home vary from month to month,",that is a new phenomenon,that is expected due to the axis,that is very scary,that is rare and unusual,"['Stars revolve in the sky', 'the sun is in the sky']",B
alternative fuel is usually a renewable resource,"Though fossil fuels and their byproducts will eventually be used up completely, we'll still have",gasoline,coal,plastics,light from stars,"['electricity is an alternate fuel source', 'gasoline is a fossil fuel']",D
evaporation causes amount of water to decrease,Needing to use an umbrella could be the result of,altercation,precipitation,condensation,evaporation,"['The sun causes water to evaporate', 'a person uses an umbrella when water falls from the sky']",B
"as the weight of an animal decreases , that animal will fly more easily","If a raptor loses weight, then it will have an easier time",eating a goldfish cracker,building a small house,circling way up there,leaving home at night,"['Feed an animal more food to gain weight', 'weight is pressure']",C
a telescope is used for observing stars,If someone wants to see the celestial bodies clearly they would use,a freshly printed magazine,a dirty old sneaker,a paper towel tube,a lengthened glass tube,"['celestial bodies are stars', 'our celestial star is the sun']",D
sunlight contains ultraviolet light,More sunlight will be absorbed by,a daffodil with curled leaves,small plant with tiny leaves,"a plant with wide, smooth leaves","a daisy with thin, short leaves","['light can be sunlight', 'the Earth absorbs sunlight.']",C
Matter in the gas phase has variable volume,Which is least likely to have a constant volume?,ice,play doh,food,car exhaust,"['volume is an amount', 'For density to remain constant, volume must increase if mass increases']",D
a thermal conductor is made of materials that conduct thermal energy,What could be an example of a thermal conductor,a penny,grass,a wood block,cotton,"['Heat conducts thermal energy.', 'A penny could be used as a thermal conductor.']",A
cold environments contain few organisms,Where would you find a less than average amount of biodiversity compared to other biomes?,a jungle,the arctic,a forest,a rain forest,"['earthquakes last less than one minute on average', 'One seasonal change in the environment is low temperatures and less food in the winter compared to the other seasons']",B
contact between rocks over long periods of time causes rocks to smooth,Where would rocks be the smoothest?,where thunder was heard,where water has flowed for years,where wind has blown for days,where the human population is the highest,"['glaciers force contact between rocks', 'rocks can be the opposite type, smooth from water']",B
a light bulb requires electrical energy to produce light,"if a tunnel had a modern facility for seeing, what can we infer from this?",there is water in use,Thomas Edison's work is in use,there is sunlight in use,there is petrol in use,"['light bulbs use electricity', 'a plant light can produce sunlight type of lighting']",B
extreme heat and pressure metamorphose rock into metamorphic rock,"in the presence heat, which of these comes about?",a piece of gum,a slurpy at the cafeteria,an ice cream cone,a large metamorphic rock,"['heat is required for the rock formation', 'volcanoes have heat and pressure']",D
if liquid is boiling then that liquid is hot,Sticking your hand in water above 100 degrees Celsius,will freeze your digits,will lead to scalded fingers,will heal any sores or wounds,will lead to frostbite,"['100 degrees celsius is the boiling point of water', 'water is a liquid']",B
"as temperature in the environment increases , the body temperature of a reptile in that environment will increase",Some of shelled item containers for replication processes are use by which kind of life form?,reptile,dog,plant,invisible,"['hotness is increased temperature', 'low body temperatures is dangerous for life forms like cats']",A
the arctic environment is white in color from being covered in snow,The arctic can be considered what?,desolate,A magical place,A city,A watermelon,"['the arctic is a cold environment', 'the arctic is in the north']",A
An example of hunting is an otter cracking open clams with a rock,If a thing is going to consume something that moves it is,nursing,birthing,perusing,grazing,"['rocks are tools used by otters', 'an otter can hunter']",C
a plant requires water to grow,"If a plant is deprived of which of these, it will die?",glass,dampness,cat food,poison,"['plants die when its cold', 'dampness comes from water, which plants require to grow and live']",B
a tree growing a tree-growth ring occurs once per year,what is a simple way to determine the age a tree?,by counting its branches,by counting its round inner markings,by counting its leaves,by counting its roots,"['all trees have growth rings', 'circles are tree growth rings']",B
if an organism becomes too hot then that organism may die,A frog was sick because it wasn't staying warm enough.,The frog was getting burned by a heat lamp,The water in the tank had dried up.,the frog was unable to regulate its body temperature without an external heat source,The frog was using too much ice in its drinks,"['Organisms can die from being too cold', 'If an illness compromises an organism enough, it can die']",C
lizards eat insects,The bear in the wild needs to find other animals to feast.,they are killers,they only eat,they never kill,they are docile,"['predators kill to feast', 'bears eat other living things too']",A
Earth orbiting the Sun causes seasons to change,Why is it fall one month and spring another month?,the moon has different phases,the earth is revolving,solar flares appear in cycles,the earth is in a different place in its orbit,"['fall and spring are seasons', 'and earth orbits the sun']",D
an animal requires enough nutrients to maintain good health,What requires nutrients to grow and heal?,birds,computers,dirt,metals,"['Nutrients are required for plants to live', 'good bacteria maintain a health colon']",A
"when the needle of a compass lines up with Earth 's magnetic poles , the needle points north",When a needle points north on a compass and you are thirsty,head south,head towards water,head forward,head north,"[""Earth's magnets pull on compass needles"", ""If you hold the compass sideways, one end of the compass's needle will point down into the earth, and the other will point up""]",B
a bicycle contains screws,Two wheeled conveyances are held together by,helically ridged pins,tape,glue,gum,"['a human powered two wheel vehicle is a bicycle', 'screws attach things together']",A
tearing an object changes that object 's shape,One example of changing an objects shape is,Making glass into a birdhouse,Holding another person's hand,Watching a bird fly,Watching a show on TV,"['One example of changing an objects shape is making glass into a birdhouse', 'metamorphosis changes shape']",A
rest has a positive impact on a health,Long naps increase the bodies,shoe size,physical state,tan lines,hair color,"['resting also give a positive impact on the human body', 'Having a cucumber has a positive impact on health']",B
evaporation is a stage in the water cycle process,Which of the following likely occurs in nature?,pools condense,pools dissolve,pools evaporate,pools transpire,"['birth is a stage in the life cycle process', 'Infancy is a stage of the life cycle process']",C
if an object is close then that object will appear large,A close object will seem to be,miniscule,minute,puny,ginormous,"['as an object moves up through the air, the pressure on that object will decrease', 'the sun is a very large object']",D
skin is used for protecting the body from harmful substances,Skin can protect your,emotions,anger,feelings,squishy bits,"['Skin can protect your squishy bits', 'your hide is your skin']",D
electromagnets can be powered by electricity,What job site would most likely utilize powerful magnets that use electricity?,a grocery store,a gymnasium,a scrap yard,an office,"['power plants create electricity', 'electricity is made in power plants']",C
a dense forest environment is often dark in color,which of these environments would better support photo film development?,a dense forest nook,a lush green meadow,a sparsely populated forest,an open sahara desert,"['photo film needs a dark environment to be processed', 'a tree filled environment is a forest']",A
the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the body,The circulatory system brings oxygen to the body from where?,The brain,The feet,The stomach area,The chest,"['lungs in chest, part of the circulatory system', 'The circulatory system is so long it could be wrapped around the Earth.']",D
breaking apart rocks can cause debris,A reason there is so much debris and damage during tornadoes is due to rocks that are getting,broken apart,eaten,evaporated,stolen,"['debris is waste', 'breaking rocks is weathering']",A
iron is always magnetic,Which is nonmagnetic?,nail,washing machine,traffic cone,refrigerator,"['iron is magnetic', 'iron can be magnetized']",C
omnivores eat plants,Omnivores would dine on,leafy greens and steak,only that which inhabits the sea,only steaks or burgers,only that which grows from the ground,"['humans are natural omnivores', 'omnivores also eat meat']",A
a radio is used for communication,What is a radio used for?,radiation,human contact,energy,water,"['radios turn electrical energy into sound', 'a radio produces sound but not light']",B
an island is formed by lava cooling on the ocean floor over time,Magma piled on the Pacific bottom tho form,Honolulu,los angelos,kansas,texas,"['There is water in the Pacific Ocean', 'the ocean is on the Earth']",A
bacteria can help digest food in humans,Which of the following is true?,gut flora can make you more healthy,bacteria is always bad,bacteria in your brain helps digest food,gut bacteria always makes you sick,"['the body digests nutriment, which is food', 'chemicals on food help keep bacteria low']",A
"as air pressure decreases , the chance of rain will increase",As the barometer reading goes lower there is a greater chance of,winning a prize,sunshine,a full moon,getting wet,"['a higher reading mean greater air pressure', 'an umbrella is need when there is a chance of rain']",D
the sun is located directly overhead at noon,To protect against the noon day sun you might use,an opaque bandana,a short haircut,transparent baseball cap,a sunny smile,"['The sun is overhead at noon.', 'You will be hotter at noon due to the sun']",A
mechanical weathering is when rocks are broken down by mechanical means,If a stone is broken down into sand it is,glass,mechanically weathered,garden compost,grits,"['mechanical weathering breaks down stones', 'a broken down body has less mass']",B
magma is found below the ground,You're most likely to encounter magma at,top of iceberg,a cloud,a space station,an island,"['magma is under the ground', 'magma is far below the ground away from humans']",D
the moon does not contain water,All of the following might be found on the natural satellite orbiting our planet excluding what?,H2O,rocks,dust,footprints,"[""the moon is earth's natural satellite"", 'our only satellite is the moon']",A
an animal 's brain controls that animal,Which is the most accurate statement?,a phone's brain controls its body,a rock's brain controls its body,a sloth's brain controls its body,a bacteria's brain controls its body,"['An animal is an organism.', 'A bird is an animal.']",C
tectonic plates being pushed together causes earthquakes,If the world is trembling it is likely that motion is being caused by,stony plates,giants,large dinosaurs,huge wolves,"['tectonics is the act of a tectonic plate moving', 'trembling happens in earthquakes']",A
fire gives off light,"If a person is searching for others in a forest at night, they can signal quietly to each other by",falling down,making memories,flicking a lighter,sleeping quietly,"['fire light is a good signal', 'The sun gives off no light when its night']",C
a scar is an acquired characteristic,"if a person has a scar on the face, at what point did they get it?",after they were born,at the time of delivery,at the time of conception,at the time of fetus development,"['burns can cause scars', 'an animal gets acquired characteristics from its parents']",A
if an object is hot then the surfaces of that object are hot,Which would feel hotter?,a stove on the fingertips,a stove on the butt,a fridge on the butt,a fridge on the fingertips,"['heat is hotness', 'hotness is heat']",A
"as an object moves , the kinetic energy of that object will increase",Which is likely to have to highest kinetic energy?,a beach ball,a tossed balloon,a sleeping person,a thrown racquetballl,"['A plane has a lot of kinetic energy when it moves.', 'An orange in a tree has potential energy; it changes to kinetic as it falls']",D
"as available water in an environment decreases , the amount of available food in that environment will decrease",There is less food to feed bacteria in a puddle when it,fills,grows,drains,overflows,"['a drained puddle contains less available water', 'decrease in water quality leads to a decrease in aquatic life']",C
heat can change the state of matter,"As a matters state changes, what will remain constant?",acceleration resistance,appearance,temperature,mass amount,"['changing to liquid is a change in state of matter', 'Water is a form of matter, freezing is a change of state']",D
an earthquake usually occurs over a period of 10 to 30 seconds,If the world is shaking it will likely last for,under five full seconds,an hour and a half,more than a day,less than a minute,"['the earth shakes during an earthquake', 'trees are a part of the ground, which shakes during an earthquake']",D
skills are learned characteristics,"Skills are learned characteristics. To get better at doing something, you must stretch yourself in ways that",may be very uncomfortable at first,take very little time,are without learning from others and past experiences,are without goals and commitment,"['You have to learn skills', 'A learned characteristic could be learning how to do a cartwheel']",A
moist means high in moisture,Wax is on some plant leaves for what purpose?,keep water available for predators,keep the ongoing hydration,stay moist for warm weather,creation of toxins in the cells,"['moistness is similar to moisture', 'wet means moist']",C
bees convert nectar into honey,Honeybees would most enjoy some,foxhounds,rusty knives,creeping buttercup,blackberry smartphones,"['bees make honey', 'honey makers are bees']",C
animal cells can not perform photosynthesis,Which is able to create its own nourishment from sunlight?,roses,deer,rainbows,water buffalo,"['photosynthesis uses light to create nourishment', ""A producer produces it's own nourishment""]",A
grass snakes live in grass,Where do grass snakes live?,icebergs,a field,grass fed cattle,amphibians on Uranus,"['grass snakes are animals', 'fields contain grass']",B
nervous system is an electric conductor,Which likely has an electrical conductor that sends sensation through an organism?,rock,ice,shrew,tree,"['steel is an electrical conductor', 'copper is an electrical conductor']",C
oil is a source of energy,Dinosaur carcasses are a form of,car parts,fuel,fun,food,"['Dinosaurs are likely to be in oil', 'dinosaur remains are part of oil']",B
a seismometer is used to measure the strength or magnitude of an earthquake,A seismometer will be able to tell how much this was quaking:,tree,bird,shoe,bed,"['measuring tells you how much of something there is', 'quaking and vibrating are the same']",A
some birds live in forests,migration is when animals travel from the north to Texas during what segment of time?,beach area,spring,winter,birds,"['hours are segments of time', 'north dakota to texas is a north to south movement']",C
stopped means no speed,An object that is stopped is,accelerated,halted,off-balance.,wind-blown,"['An object that is stopped has no speed because it has been halted.', 'stopping means being still']",B
muscles pull bones to move the bones,If a leg is moving then the bones inside the skin are,being controlled by brawn,being slowly softened up,being made to break down,being torn into pieces,"['the arm is made of muscle and bone', 'shaking your head requires muscles moving bones']",A
chemical splashing sometimes occurs during experiments,"In an experiment, chemical splashing can happen so",be dangerous,be safe,be messy,be playful,"['being safe is best with chemical splashes', 'you can avoid harm to the eyes from splashing chemicals by keeping them covered']",B
scientists make observations,A person who has a job of making discoveries also,watches,fights,slaughters,explodes,"['watching is making observations', 'objects make light']",A
An example of conservation is not using fossil fuel,A way to conserve something is to,use it up,use it sparsely,use it quickly,finish it off,"['barely using something is conservative use', 'oil is an example of a fossil fuel']",B
a solution is made of one substance dissolved in another substance,Kool-aid is a mix of what items as a solution?,sugar candy from store,water fluid within a sugar casing,soda pop within a can,sweets grains and flavors dissolved in liquid base of water,"['coke is substance made of carbon dioxide, a substance and sugar, a substance dissolved in water', 'kool-aid is a liquid']",D
organisms can be preserved in sedimentary rock,Which of the following is most likely to occur?,an archaeologist finds an ancient crustacean in magma,an archaeologist finds an ancient crustacean in limestone,an archaeologist finds an ancient human in limestone,an archaeologist finds an ancient human in magma,"['shale is a sedimentary rock', 'shale is a sedimentary rock like limestone']",B
high temperatures can cause an object to combust,"if a bush fire breaks out without human action, what might have happened?",the mercury read high in the thermometer that day,it was a cloudy day,it was a very rainy day,it was a very cold day,"['magnetism can happen without human action', 'fire is a burning combustion']",A
tuna eat fish,Which would likeliest eat a sardine?,a plant,a tree,a canary,a tunafish,"['Sardines are fish', 'sardines are fish']",D
polar bears live in cold environments,Where would a polar bear enjoy living,in a small cage,in a reef in the ocean,in a tropical environment,much closer to one of the earth's poles than to the equator,"['polar bears are an organism adapted to a cold environment', 'polar bears are white']",D
the arctic environment is covered in snow,If you wanted to see snow year round you would go to the,new zealand,arctic,hawaii,beach,"['the arctic has snow year round', 'Arctic animas live in snow environments']",B
the surface of the Moon contains mountains,Where could you most likely jump to the top of a mountain?,near the equator,on the moon,near the sea,in a laboratory,"['mountainous means containing mountains', 'you can see further on top of a mountain']",B
a plant requires photosynthesis to grow,What requires photosynthesis to grow?,sunlight,local flora,power plants,plant toys,"['photosynthesis requires light', 'cake is not required for photosynthesis']",B
eating food that contains pesticides can have a negative impact on humans,"In order for crops to grow food safely pesticides are used on them. When it floods, this can cause what to be poisonous?",Corn,air,Runoff,farmers,"['crops need pesticides', 'Pesticides can cause illnesses']",C
"when an electrical circuit is working properly , electrical current runs through the wires in that circuit",An example of an electrical circuit running properly would be,dimming lights,swimming in pools,running outside,riding bikes,"['Dimming light bulbs are an example of an electrical circuit.', 'A light switch is an example of a circuit']",A
An example of camouflage is when something has the same color as its environment,Some caterpillars use camouflage to look like,Anger,poop,love,Sarcastic,"['Some caterpillars use camouflage to look like poop', 'another example of camouflage is appearing to be something else found in an environment']",B
a battery is a source of electrical energy,which one of these would be needed to power up a torch light?,a hard wood chip,a set of AAA cells,a metal iron rod,a sachet of water,"['batteries are a source of electricity', 'electric torch is a flashlight']",B
performing lab expiriments accurately requires understanding all directions beforehand,To get a lab experiment right you need to,use all dirty equipment,fully comprehend the instructions before starting,do the opposite of what you're supposed to do,"instead of measuring things, make guesses","['microscopes are commonly found in labs', 'to understand is to comprehend']",B
high means great in altitude,If one where to get high at Mt. Everest it would mean they are,arriving at airport,waiting for cabs,at the bottom,at the apex,"['mountains are at high altitudes', 'chicken is high in protein']",D
the number of rings in a tree trunk can be used to estimate the age of the tree,"If a tree is being discussed and those talking want to know its age, they will",think about it,bury it,look at leaves,look inside it,"['if an estimated age is know it can be subtracted from the current year to learn the estimate date of planting', 'age markings on tall plants are rings in trees']",D
force causes the speed of an object to increase,Igniting the shuttles boosters causes it to,explode,stop midair,accelerate,decelerate,"['adjusting speed can increase speed', 'igniting will burn something']",C
the Earth contains many ecosystems,Our planet has multiple,moons,suns,orbits,environments,"['Earth is our planet.', 'our planet is earth']",D
nerves can be used to feel heat and pressure on the skin,If your hand is being burned on a stove,you will feel cool,you will be chilled,your nervousness will disappear,your nerves will make you aware,"['Feeling is sensing fabric on the skin.', 'your hide is your skin']",D
An example of protecting the environment is creating protected areas,A person protecting the environment they have control over will most likely,block in their yard,salt their whole yard,burn trash in their yard,flood their whole yard,"['protected areas are usually fenced in for protection', 'shelter is protection']",A
chlorophyll is used for absorbing light energy by plants,Plants use chlorophyll to,get rid of waste,absorb energy that the closest star provides,keep warm from thermal energy,absorb light colored food from the soil,"['plants use chlorophyll to make energy from sunlight', 'chlorophyll is green']",B
usually plants store the food they produce for future use,What do plants do after they use their chlorophyll to make energy from sunlight?,use it right away,sell it to someone,save it for future use,give it to a friend,"['plants use chlorophyll to make energy from sunlight', 'Plants are producers because they use the sun to create food.']",C
An example of migration is birds flying south in the winter,migration is when animals travel from the northern state such as north dakota to Texas during what segment of time?,lake fronts,birds,spring,winter,"['north dakota to texas is a north to south movement', 'flying south is also known as migrating']",D
condensing causes a liquid to form,Which is the best example of condensation?,cats lick their fur,headphones fall into a puddle,hail falls from the sky,water forms on a frosty beverage,"['condensing precipitation is condensation', 'condensed liquid can form on a cold beverage']",D
the Earth absorbs more energy than it loses,The Earth's energy creates,Happiness,Love,Anger,a magnetic creation,"[""The Earth's energy creates a magnetic field."", 'the Earth absorbs sunlight.']",D
reproduction occurs during adulthood,"If a thing is procreating, then it is",under age,too old,young,aged enough,"['procreating and reproducing are the same', 'matured is adulthood']",D
seconds are used to measure time,How many seconds would it most likely take to get to Mars?,4000000000000000000000 seconds,40 seconds,400 seconds,4 seconds,"['portions of a minute are seconds', 'Mars is next to Earth']",A
fruit contains seeds,A kumquat is more likely than a steak to have,fluid,seeds,fibers,skin,"['fruit has seeds', 'Steak is from an animal']",B
a rocket engine is used to produce thrust by pushing gases out at a high speed,"If an entity in intergalactic space has thrust placed upon it, what is the expected result?",it will start moving with acceleration,it will make a loud noise,spontaneously teleport a light year away,remain in the same location,"['thrust occurs when something is pushed', 'a bag of gas produces thrust by releasing gas at a high speed']",A
having food has a positive impact on an organism 's health,Having food has a positive impact on the health of what?,organism charts,water,sunlight,critters,"['Having a cucumber has a positive impact on health', 'a positive adjustment is a positive impact']",D
if a tree is located near a sidewalk then the roots of that tree might crack the sidewalk,The cracks in a sidewalk could be caused by,black holes,Pine,time travel,emotions,"['sidewalks are hard objects', 'a sidewalk is a hard walkway that runs alongside a street']",B
a greenhouse is used to protect plants by keeping them warm,"If plants are chilled in evening air,",put them in a fire pit,put them in a glass pile,put them in an igloo,put them in a glass building,"['greenhouses protect plants and flowers from the elements', 'greenhouses protect from insects']",D
if one mineral can scratch another mineral then that other mineral is softer than that one mineral,Which of the following relationships is true?,"Play-Doh can scratch diamond, therefore it is softer","Diamond can scratch Play-Doh, therefore Play-Doh is harder","Diamond can scratch Play-Doh, therefore diamond is harder","Play-Doh can scratch diamond, therefore it is harder","['diamonds scratch other minerals', 'graphite is a mineral']",C
if an animal takes a resource from another animal then that animal competes for resources successfully,Which is competition?,a giraffe eats the highest leaves,a bear takes a salmon from the stream,a shark eats a tuna that an orca was hunting,a slug eats a blade of grass,"['when an animal wins the competition for resources it has out competed the other animals', 'sharks and orcas compete for resources']",C
camouflage is used for hiding by animals against predators,"If a bird is avoiding detection by a cat simply by sitting still, it probably is also utilizing",eruptions,merging with background,flames,blending paint,"['octopus can avoid predators by hiding', 'hiding in bushes avoids predators']",B
if an object is blue then that object reflects only blue light,A reflector is used to reflect,light edibles,dirt,solar heat,sunbeams,"['oceans reflect only blue light', 'earth is the blue planet']",D
"as the available water in an environment increases , the populations of organisms in that environment will increase","If a lake begins to overflow after swelling from a storm, species within that water source likely",propagate,stagnate,crash,stall,"['introduce new water sources increases available water', 'adding a water feature would increase available water']",A
some lizards live in desert habitats,Which of the following would best describe why a lizard would live in a desert?,it can eat bugs and withstand very cold weather,it can eat fish and withstand very cold weather,it can eat bugs and withstand very hot weather,it can eat fish and withstand very cold weather,"['only some species of lizards live in the desert', 'not all plants live in desert']",C
riding a bike does not cause pollution,"If pollution is caused by many things, it is least likely to be caused by",using styrofoam,pedaling forward,driving cars,smoking cigarettes,"['trees are not a pollutant', 'Air is not naturally polluted']",B
coral lives in the ocean,Marine invertebrates are likely to be discovered in,rushing streams,backyard ponds,clam filled waters,local pools,"['coral is the most diverse of all marine ecosystems', 'clams live in oceans']",C
a plant requires sunlight to grow,What purpose does a plant light serve?,Comfort them,replicate sunlight,Protect from bugs,Keep plants warm,"['Plants need light to grow', 'a plant light can produce sunlight type of lighting']",B
the moon is the celestial object that is closest to the Earth,How many revolutions does the moon make around the Earth during spring?,twelve,three,one,six,"['the closest body in space to the earth is the moon', 'the moon orbits the Earth']",B
decomposer is a kind of role in an ecosystem,Decomposer is a kind of role in our,environment,play,home,army,"['hotness is a kind of heat', ""a bush's role is that of a producer""]",A
an animal knows how to do instinctive behaviors when it is born,A badger is birthed with behaviors that are,learned,found,intuitive,useless,"['Instincts are behaviors or thoughts we are born knowing', 'climbing is an instinctive behavior']",C
remora fish eat food by attaching themselves to sharks and eating the food left behind,Small fish can be safe swarming dangerous sharks when,they are hungry,they are symbiotic,they are starving,they are delicious,"['remora fish are symbiotic with sharks', 'Birds eat fish']",B
Earth 's magnetic patterns are used for finding locations by animals that migrate,A ship navigates with a magnetic compass because it is,predictable,unpredictable,waterproof,tradition,"['compasses use magnets', 'magnetic rocks are attracted to magnets']",A
plant requires seed dispersal for reproduction,Which of the following substances likely contains plant seeds?,sweat,poop,urine,blood,"['Seeds are the plants method of reproduction', 'pits are seeds for plants']",B
cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses,"If a pork chop is underdone, the likelihood of illness spreading to consumers of it is",low,nil,extreme,zero,"['cooking kills bacteria', 'cooking food reduces bacteria in it']",C
an organism requires energy for growth,"If a thing is going to be able to expand, it will require",nutriment,pipes,flounder,conversation,"['running requires energy', 'solar energy is required for life to be sustained']",A
runoff is when cropland water enters bodies of water,If a beach is below a farm it can make swimmers ill if,people go to the movies,field fluid drips down,humans enjoy eating meat,some cattle eat cheese,"['field fluid is cropland water', 'runoff makes people sick']",B
mice live in in holes in the ground in fields,An animal that often lives in holes in the ground in fields has,long curly hair,round ears,four wings,rainbow stripes,"['birds often live in trees', 'ground minerals are contained in soil']",B
vibrating matter can produce sound,Which of the following relies on vibrating matter to work?,soda cans,dog food,baseball caps,violas,"['sound vibrates', 'sound can vibrate things to break']",D
An example of a chemical change is acid breaking down substances,An example of a chemical change is,milk to yogurt,mixing marbles,my chemical romance,shredding paper,"['acid is a chemical', 'stomach acid breaks down food substances']",A
a beach ball contains gas,"if a beach ball explodes, which of these would be given off?",a flock of geese,a ton of sand,a release of air,a release of doves,"['you need gas to fill a beach ball', 'gas is what is blown into beach balls by mouth']",C
a computer controls a robot,What is essential for a robot to possess to walk up a flight of stairs?,electricity,skittles,ethics,lava,"['robots require computer commands', 'robots are not living things']",A
if a living thing dies then that living thing is dead,"If you find an animal that isnt breathing, it is safe to assume that thing",watched TV,cried,perished,laughed,"['living things breathe', 'All living things breathe']",C
the moon 's surface contains highlands,The moon has,Narwhales,Fairies,dead volcanoes,Unicorns,"['a full moon is a phase of the moon', 'a full moon is one of the phases of the moon']",C
pushing on the pedals of a bike cause that bike to move,"Actress and goddess Jessica Alba wishes to help the environment by riding a bicycle. Dressed in a tantalizingly suggestive outfit, she propels herself by",dark angel wings,burning rocket fuel,using paparazzi cameras,using foot levers,"['pedaling a bike is cycling', 'feet are used to pedal a bike']",D
a new season occurs once per three months,"A boy hates summer with a burning passion, so luckily the longest he should ever have to endure the season is",twelve weeks,three years,nine months,two days,"['three per season', 'there are three months in each season']",A
producer is a kind of role in the food chain process,"If a bird is pecking at a bush for food, the bush can also eat if",munches on some berries,it fulfills its role,orders something it likes,kills a small deer,"[""a bush's role is that of a producer"", 'A rose bush is a plant.']",B
plant cells can perform photosynthesis,Buttercups can produce,their own nutrients,grow in space,ride horses,enter singing competitions,"['buttercups are plants', 'cactus perform photosynthesis']",A
"as the size of a flower increases , the number of pollinators it will attract increases","Big flowers have more nectar than small flowers do. Because of this, which flowers will get the most bees?",space cadet,smaller ones,bigger ones,dead ones,"['nectar is a product of flowers', 'Bigger flowers have more nectar']",C
a phase change is when matter changes from one state into another state,A reflective surface fogging up is,reflection,refraction,evaporation,condensation,"['changing to liquid is a change in state of matter', 'a phase shift is a change in the state of matter']",D
all animals breathe,Inhaling O2 is a requirement of all,buried animals,living animals,stuffed animals,rocks,"['All living things breathe', 'all living things breathe']",B
